id,name,category,size,color,material,price,rating,reviews,exclusive,sporty,new
522813231,Brooks Shirt K-9326,Shirt,XL,Желтый,Полиэстер,765655,4.93,733745,,,+
586420913,PleinSport Skirt Z-3973,Skirt,S,Фиолетовый,Вискоза,877041,4.99,732390,,yes,+
414571764,Brooks Skirt E-6306,Skirt,S,Оранжевый,Лен,261796,4.91,883266,yes,no,
701418293,Adidas Shoes D-5234,Shoes,XL,Желтый,Лен,313567,4.92,849607,no,,+
213232694,Nike Pants J-1186,Pants,M,Голубой,Шелк,109807,4.99,760203,,no,-
807890916,Reebok Shirt R-5016,Shirt,M,Желтый,Кожа,773655,4.96,421794,no,yes,
732270143,DC Gloves K-3681,Gloves,XXL,Красный,Полиэстер,456358,4.91,738572,,no,+
596759016,Ellesse Skirt B-8476,Skirt,XL,Синий,Лен,284310,5.0,581004,no,,
386044009,PleinSport Hat F-9414,Hat,M,Синий,Вискоза,573792,4.92,901538,,,-
968874223,Ellesse Jeans W-7665,Jeans,S,Желтый,Нейлон,816706,4.93,792760,no,yes,-
593243503,Brooks Umbrellas O-8014,Umbrellas,L,Зеленый,Кожа,331626,4.93,756764,,no,-
833576054,DC Sweater U-2050,Sweater,M,Оранжевый,Полиэстер,537255,4.99,215135,yes,no,-
544695762,PleinSport Belts X-2300,Belts,M,Синий,Кожа,394434,5.0,936917,yes,,
715187364,Under Armour Shirt Y-4955,Shirt,L,Зеленый,Полиэстер,587297,4.91,232471,no,no,
604860284,PleinSport Jeans Z-3385,Jeans,XXL,Фиолетовый,Шелк,529257,4.96,505505,no,,-
819734079,Nike Hat V-9808,Hat,M,Красный,Лен,517081,4.93,943953,yes,yes,
515738306,PleinSport Blouse Z-7684,Blouse,S,Голубой,Лен,130587,4.94,777237,,no,-
284889217,Under Armour Gloves K-4871,Gloves,M,Оранжевый,Нейлон,914470,4.9,46363,no,,-
