Тип,Турнир,Город,Количество туров,Контроль времени,Минимальный рейтинг,Изображение,Рейтинг,Просмотры
Swiss,Гран,Авилес,8,163,2256,https://upload.chess.com/50853.webp,7.0,8627
Swiss,Вена,Луго,15,29,2495,https://upload.abc-chess.it/950136.jpg,1.0,83427
Swiss,Цюрих,Вильнюс,13,50,2328,https://upload.chess.org/909650.jpg,1.0,86371
Swiss,Шамкович,Мурсия,13,147,2463,https://upload.chess.xyz/728749.svg,3.0,26736
Swiss,Аэрофлот,Тудела,15,125,2602,https://upload.chess.org/596252.webp,8.0,48108
Swiss,Политика,Таллин,12,146,2355,https://upload.abc-chess.it/131044.webp,4.0,50559
Swiss,Политика,Семана,7,24,2593,https://upload.chess.com/921035.png,1.0,24278
Swiss,Европа,Хельсинки,8,45,2436,https://upload.abc-chess.it/396518.png,4.0,20693
Swiss,Гран,Тудела,11,120,2622,https://upload.chess.ru/933775.jpeg,6.0,70600
Swiss,Тилбург,Душанбе,11,148,2546,https://upload.chess.com/973054.svg,8.0,7561
Swiss,Цюрих,Мерида,6,137,2584,https://upload.chess.com/412427.jpeg,2.0,12704
Swiss,Мемориал,Сория,9,165,2239,https://upload.chess.org/206098.png,6.0,22589
Swiss,Кубок,Картахена,14,46,2386,https://upload.abc-chess.it/410613.jpeg,6.0,48438
Swiss,Хогевен,Малага,12,136,2507,https://upload.abc-chess.it/883687.svg,4.0,55962
Swiss,Вейк,Кишинев,11,98,2371,https://upload.abc-chess.it/714324.jpeg,0.0,13446
Swiss,Гран,Рига,15,24,2210,https://upload.chess.com/513754.jpeg,2.0,56299
Swiss,Сент,Вальядолид,9,145,2203,https://upload.chess.xyz/452907.jpeg,7.0,10293
Swiss,Биль,Вроцлав,10,59,2436,https://upload.chess.org/921704.png,7.0,28597
Swiss,Гран,Мерида,12,93,2359,https://upload.abc-chess.it/388956.png,1.0,33176
Swiss,Вейк,Вильнюс,12,141,2476,https://upload.chess.xyz/919327.png,2.0,65375
Swiss,Кубок,Навалькарнеро,14,106,2508,https://upload.chess.com/277484.jpeg,9.0,24743
Swiss,Дортмунд,Бургос,14,45,2319,https://upload.chess.com/745256.svg,5.0,45806
Swiss,Вена,Вальядолид,7,120,2324,https://upload.chess.org/459743.jpeg,7.0,66094
Swiss,Чемпионат,Душанбе,13,178,2389,https://upload.chess.ru/626528.png,6.0,75878
Swiss,Кубок,Вильявисиоса,6,67,2219,https://upload.chess.com/34409.jpeg,1.0,34439
Swiss,Ставангер,Овьедо,7,115,2292,https://upload.chess.com/874976.jpeg,8.0,29548
Swiss,Политика,Рига,13,138,2585,https://upload.abc-chess.it/993459.png,6.0,95359
Swiss,Вейк,Луго,10,128,2203,https://upload.chess.org/657329.png,3.0,667
Swiss,Линарес,Виго,14,71,2297,https://upload.abc-chess.it/411908.webp,2.0,37573
Swiss,Вейк,Подгорица,13,110,2318,https://upload.chess.org/163660.webp,1.0,63307
Swiss,Лондон,Лас,10,45,2271,https://upload.chess.com/303626.webp,9.0,80118
Swiss,Хогевен,Ла,7,24,2643,https://upload.chess.com/533837.webp,5.0,7912
Swiss,Алушта,Эльче,15,158,2645,https://upload.chess.org/636872.webp,8.0,57224
Swiss,Аэрофлот,Белград,11,31,2445,https://upload.chess.org/271446.jpg,8.0,6400
Swiss,Хогевен,Астана,7,118,2548,https://upload.chess.com/117015.png,5.0,770
Swiss,Вейк,Малага,14,64,2277,https://upload.chess.org/626628.png,5.0,33758
Swiss,Биль,Тбилиси,15,93,2572,https://upload.chess.xyz/70759.png,8.0,58739
Swiss,Политика,Вроцлав,6,96,2230,https://upload.chess.ru/188616.webp,0.0,34051
Swiss,Гашиш,Сеговия,10,96,2600,https://upload.chess.org/485605.svg,9.0,53800
Swiss,Реджо,Сьюдад,14,165,2297,https://upload.chess.ru/876571.webp,2.0,13314
Swiss,Сент,Бишкек,6,156,2212,https://upload.chess.org/525435.webp,3.0,39928
Swiss,Чемпионат,Кордова,12,73,2211,https://upload.chess.com/496050.webp,8.0,69071
Swiss,Пальма,Тбилиси,15,154,2625,https://upload.chess.org/424717.jpg,6.0,50642
Swiss,Ставангер,Монсон,7,77,2210,https://upload.chess.com/666766.svg,2.0,51691
Swiss,Кубок,София,12,124,2585,https://upload.chess.org/697625.jpeg,7.0,99787
Swiss,Кубок,Трухильо,7,149,2525,https://upload.chess.xyz/547006.jpeg,1.0,48774
Swiss,Политика,Малага,12,156,2325,https://upload.chess.org/97334.jpeg,9.0,91522
Swiss,Пойковский,Эль,7,49,2269,https://upload.chess.org/777422.jpg,4.0,29660
Swiss,Линарес,Рига,14,72,2347,https://upload.chess.ru/947299.jpg,8.0,74068
Swiss,Алушта,Кордова,11,133,2557,https://upload.abc-chess.it/401375.svg,1.0,25848
Swiss,Гран,Трухильо,10,137,2450,https://upload.chess.ru/890903.svg,4.0,4076
Swiss,Реджо,Санхенхо,11,59,2349,https://upload.chess.com/676956.jpeg,6.0,54773
Swiss,Тилбург,Прага,9,146,2397,https://upload.abc-chess.it/326012.png,8.0,78792
Swiss,Мемориал,Санхенхо,7,98,2230,https://upload.chess.org/456423.jpeg,7.0,3822
Swiss,Шамкович,Тудела,7,26,2486,https://upload.chess.org/925027.png,0.0,74904
Swiss,Биль,Мартоса,11,94,2238,https://upload.chess.ru/479363.png,5.0,62981
Swiss,Турнир,Куэнка,7,128,2632,https://upload.abc-chess.it/391296.jpeg,4.0,46038
Swiss,Гран,Бильбао,15,65,2385,https://upload.chess.org/126796.webp,2.0,20701
Swiss,Шамкович,Белград,11,41,2419,https://upload.chess.org/143281.svg,3.0,52230
Swiss,Макартур,Баку,7,90,2287,https://upload.chess.xyz/383525.svg,9.0,30711
Swiss,Цюрих,Луарка,7,22,2333,https://upload.chess.org/933871.svg,1.0,28051
Swiss,Сент,Белград,12,23,2317,https://upload.chess.org/35889.webp,0.0,41331
Swiss,Ставангер,Артейхо,8,168,2530,https://upload.abc-chess.it/148417.png,0.0,84225
Swiss,Кубок,Эльче,6,80,2558,https://upload.chess.com/842074.jpg,0.0,58606
Swiss,Хогевен,Малага,7,126,2284,https://upload.chess.com/641379.png,7.0,69117
Swiss,Реджо,Вильнюс,9,85,2631,https://upload.abc-chess.it/543119.svg,1.0,82279
Swiss,Алушта,Картахена,15,143,2202,https://upload.chess.com/918563.webp,6.0,52359
Swiss,Гашиш,Луго,12,106,2577,https://upload.chess.xyz/553662.jpeg,2.0,78661
Swiss,Шамкович,Касерес,13,91,2391,https://upload.abc-chess.it/527273.jpg,9.0,66214
Swiss,Алушта,Осера,7,152,2317,https://upload.abc-chess.it/627879.png,5.0,99188
Swiss,Чемпионат,Прага,11,48,2430,https://upload.chess.ru/435587.jpg,8.0,1470
Swiss,Кубок,Артейхо,10,87,2552,https://upload.abc-chess.it/535868.png,3.0,98371
Swiss,Политика,Гранада,14,65,2543,https://upload.chess.ru/553567.svg,6.0,25530
Swiss,Политика,Афины,15,119,2288,https://upload.chess.xyz/832478.webp,7.0,52787
Swiss,Макартур,Вальядолид,10,63,2388,https://upload.chess.xyz/558795.jpeg,0.0,81379
Swiss,Цюрих,Бургос,12,180,2461,https://upload.abc-chess.it/848899.webp,2.0,41355
Swiss,Sinquefield,Авилес,14,79,2373,https://upload.chess.ru/45581.png,0.0,48308
Swiss,Сент,Лас,9,60,2325,https://upload.chess.com/229691.jpeg,1.0,86138
Swiss,Европа,Мартоса,13,119,2242,https://upload.abc-chess.it/169757.webp,5.0,14098
Swiss,Реджо,Краков,15,40,2493,https://upload.chess.com/410701.jpeg,2.0,55124
Swiss,Турнир,Бургос,8,120,2318,https://upload.chess.com/558094.svg,5.0,62786
Swiss,Вейк,ТаллинНачало,6Контроль,154,2533,https://upload.chess.ru/962653.svg,4.0,93428
Swiss,Ставангер,Мадрид,9,56,2337,https://upload.chess.org/334224.jpg,8.0,6285
Swiss,Линарес,Картахена,11,89,2576,https://upload.abc-chess.it/690769.svg,5.0,68554
Swiss,Хогевен,Осера,7,66,2276,https://upload.chess.com/544823.png,5.0,85668
Swiss,Чемпионат,Барселона,10,137,2231,https://upload.chess.com/540533.webp,5.0,28642
Swiss,Ставангер,Махадаонда,11,57,2445,https://upload.chess.ru/226960.svg,5.0,10127
Swiss,Вена,Бургос,7,133,2536,https://upload.chess.xyz/812460.svg,2.0,75381
Swiss,Реджо,Сараево,14,178,2202,https://upload.abc-chess.it/139325.jpg,5.0,91809
Swiss,Макартур,Кордова,15,25,2294,https://upload.abc-chess.it/193601.svg,8.0,61962
Swiss,Турнир,Астана,12,78,2632,https://upload.chess.com/268255.jpg,8.0,57418
Swiss,Балтийская,Таллин,7,141,2435,https://upload.abc-chess.it/83460.svg,2.0,20326
Swiss,Шамкович,Льейда,8,66,2228,https://upload.chess.xyz/79678.svg,5.0,8171
Swiss,Биль,Астана,9,51,2436,https://upload.chess.org/364282.png,4.0,58787
Swiss,Гашиш,Сантьяго,13,128,2617,https://upload.chess.org/862445.jpeg,1.0,83036
Swiss,Биль,Бургос,9,55,2238,https://upload.chess.com/330966.webp,4.0,32164
Swiss,Пальма,Мурсия,7,158,2566,https://upload.chess.com/974933.jpg,6.0,69832
Swiss,Вена,Ташкент,8,48,2556,https://upload.chess.org/866963.svg,9.0,82511
