Name,Url,Image,Price,Bonus,processor,ram,resolution,camera,sim,matrix,acc
"6.1"" HTC 240GB",/product/14001,/upload/906951.jpg,11564,115,8x4.2 ГГц,,,,4 SIM,AMOLED,
"6.5"" iPhone 12 112GB",/product/51574,/upload/890702.svg,13619,136,,10 GB,,55 MP,,,2036 мА * ч
"6.9"" iPhone 12 112GB",/product/74645,/upload/699682.png,15392,153,2x1.6 ГГц,11 GB,1280x1080,,1 SIM,,6912 мА * ч
"6.0"" Acer 144GB",/product/48875,/upload/10765.svg,12408,124,4x2.1 ГГц,10 GB,1920x768,,2 SIM,AMOLED,5896 мА * ч
"6.9"" Samsung 16GB",/product/14149,/upload/354726.png,12916,129,,,1024x768,,,IPS,
"7.2"" Motorola 64GB",/product/73642,/upload/506474.jpg,18195,181,8x3.9 ГГц,,2560x1080,68 MP,1 SIM,,3380 мА * ч
"7.3"" Silicon Power 240GB",/product/27560,/upload/711644.jpg,10272,102,,16 GB,,,1 SIM,AMOLED,7329 мА * ч
"5.9"" Toshiba 128GB",/product/98074,/upload/414926.png,18481,184,,,,,,,4615 мА * ч
"6.4"" Acer 240GB",/product/52339,/upload/767096.png,14945,149,2x1.9 ГГц,,,,1 SIM,,6763 мА * ч
"7.5"" Hewlett-Packard 240GB",/product/42175,/upload/950841.png,18246,182,,12 GB,,53 MP,,,4145 мА * ч
"7.4"" Transcend 16GB",/product/85053,/upload/677049.webp,11684,116,4x3.4 ГГц,4 GB,1920x1200,19 MP,1 SIM,OLED,2648 мА * ч
"6.5"" Fujitsu 48GB",/product/15059,/upload/306022.png,16728,167,8x1.5 ГГц,12 GB,2560x768,118 MP,4 SIM,,2679 мА * ч
"7.0"" iPhone 13 32GB",/product/97201,/upload/285018.svg,17883,178,,11 GB,1600x1366,,1 SIM,OLED,
"5.3"" AMD 240GB",/product/44009,/upload/171842.svg,15791,157,,6 GB,1366x1080,25 MP,1 SIM,AMOLED,
"7.1"" Kingston 224GB",/product/28429,/upload/933264.webp,13841,138,,7 GB,1366x1366,77 MP,4 SIM,,
"5.7"" ADATA 224GB",/product/67066,/upload/916373.jpeg,17043,170,,,,,4 SIM,OLED,6372 мА * ч
"7.1"" Acer 144GB",/product/98189,/upload/985407.png,15737,157,,,,,,,
"7.5"" VIVO 48GB",/product/80578,/upload/457678.jpg,15298,152,2x3.7 ГГц,13 GB,2560x1366,30 MP,,,7936 мА * ч
"6.2"" Nokia 32GB",/product/94787,/upload/56764.svg,14502,145,8x3.1 ГГц,,,70 MP,,,
"6.4"" Broadcom 128GB",/product/78361,/upload/925168.svg,18565,185,,,1920x1200,,,,
"7.4"" ZTE 256GB",/product/70614,/upload/892732.jpeg,17436,174,,,1600x2160,59 MP,1 SIM,AMOLED,
"6.6"" LaCie 112GB",/product/31581,/upload/125034.jpg,13982,139,,,,89 MP,4 SIM,,5709 мА * ч
"5.6"" Texas Instruments 16GB",/product/82727,/upload/276460.svg,10664,106,,3 GB,,98 MP,1 SIM,,
"5.4"" Google Pixel 208GB",/product/67812,/upload/786865.png,13677,136,2x1.2 ГГц,12 GB,1920x768,16 MP,3 SIM,AMOLED,3852 мА * ч
"6.0"" Dell 144GB",/product/79336,/upload/870836.svg,11015,110,6x1.4 ГГц,,2560x1440,98 MP,3 SIM,,
"6.8"" NVIDIA 144GB",/product/60981,/upload/926630.svg,10327,103,,,1280x768,68 MP,,,
"7.2"" Acer 48GB",/product/65302,/upload/153495.webp,10368,103,6x5.0 ГГц,,,24 MP,,,3634 мА * ч
"5.6"" Kingston 208GB",/product/55708,/upload/926053.webp,12669,126,8x4.6 ГГц,,1024x1200,125 MP,4 SIM,,4999 мА * ч
"6.5"" Samsung Note 256GB",/product/35822,/upload/378824.jpeg,11775,117,2x1.5 ГГц,,1280x2160,125 MP,2 SIM,,
"7.2"" ASUS 240GB",/product/83592,/upload/953318.png,12767,127,,,,119 MP,1 SIM,OLED,
"5.2"" Marvell 16GB",/product/41630,/upload/493060.jpeg,17005,170,6x2.7 ГГц,7 GB,1920x1366,,,,
"7.1"" OPPO 240GB",/product/51485,/upload/494414.png,18614,186,2x3.0 ГГц,8 GB,,124 MP,4 SIM,AMOLED,5292 мА * ч
"6.8"" Motorola 160GB",/product/43134,/upload/47044.jpg,16197,161,6x4.6 ГГц,16 GB,,,1 SIM,,7391 мА * ч
"5.4"" Qualcomm 208GB",/product/89098,/upload/342851.svg,14183,141,4x2.9 ГГц,12 GB,,,3 SIM,AMOLED,4586 мА * ч
"6.9"" Hewlett-Packard 176GB",/product/30070,/upload/678122.png,12638,126,,,,,2 SIM,OLED,6488 мА * ч
